age,marital,dwelling,edu,foodins,weight,female,immigr,rural,children,household,joblose,finimpact,pfg,anx2,nmissingvars,finimp3,fooddich,_est_est1,_est_est2,_est_est3,_est_est4
4,2,2,7,0,1463.432,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,1
3,1,1,7,0,2726.576,0,1,0,0,2,0,1,1,0,0,1,0,1,1,1,1
5,1,1,4,0,19016.51,0,0,0,0,2,1,4,1,1,0,2,0,1,1,1,1
6,1,1,6,0,2458.287,0,0,0,0,2,9,1,1,0,0,1,0,1,1,1,1
2,1,1,6,0,4193.475,0,0,0,0,2,0,2,0,0,0,2,0,1,1,1,1
5,3,2,1,2,14164.53,0,0,1,0,1,9,1,1,0,0,1,1,1,1,1,1
4,3,1,4,2,1916.393,0,0,0,0,1,1,4,1,1,0,2,1,1,1,1,1
5,3,1,7,0,750.8257,0,0,0,0,1,0,2,1,0,0,2,0,1,1,1,1
7,1,1,4,2,15079.38,0,1,0,0,2,9,1,0,0,0,1,1,1,1,1,1
5,3,1,3,1,1871.321,0,0,0,0,2,0,5,0,0,0,3,1,1,1,1,1
4,1,1,1,0,23004.18,0,0,1,0,2,0,2,1,0,0,2,0,1,1,1,1
6,2,4,1,0,2910.372,0,1,0,0,1,9,1,0,0,0,1,0,1,1,1,1
1,3,4,2,1,12491.56,0,0,0,0,3,9,5,1,0,0,3,1,1,1,1,1
3,2,1,4,0,1349.228,0,0,0,0,1,0,2,1,0,0,2,0,1,1,1,1
5,1,1,2,0,1215.821,0,0,1,0,2,9,1,0,0,0,1,0,1,1,1,1
2,3,1,6,2,4497.542,0,0,0,0,2,0,1,0,0,0,1,1,1,1,1,1
6,2,2,6,0,733.108,0,0,0,0,1,9,2,0,0,0,2,0,1,1,1,1
5,1,1,2,2,979.7892,0,0,1,0,2,0,5,1,0,0,3,1,1,1,1,1
6,1,1,6,0,1458.943,0,0,1,0,2,9,2,0,0,0,2,0,1,1,1,1
6,3,1,6,0,1222.352,0,1,1,0,1,0,1,0,0,0,1,0,1,1,1,1
5,1,2,6,0,2997.218,0,0,0,0,2,0,5,0,0,0,3,0,1,1,1,1
7,2,4,3,0,1200.83,0,0,0,0,1,9,1,1,0,1,1,0,1,1,1,1
5,1,1,2,0,5450.812,0,0,1,0,2,0,3,0,0,0,2,0,1,1,1,1
3,3,4,2,0,34062.08,0,1,0,0,2,0,2,1,1,0,2,0,1,1,1,1
7,1,1,6,0,1136.833,0,0,0,0,2,9,1,0,0,0,1,0,1,1,1,1
6,1,1,2,0,1747.788,0,0,0,0,2,9,1,0,0,0,1,0,1,1,1,1
2,3,2,6,0,2833.12,0,0,0,0,2,0,1,1,0,0,1,0,1,1,1,1
7,3,1,6,2,306.184,0,1,1,0,1,9,1,1,0,0,1,1,1,1,1,1
5,1,1,4,0,3205.05,0,1,1,0,2,1,3,1,0,0,2,0,1,1,1,1
4,1,3,7,0,9989.675,0,0,0,0,2,0,1,1,0,0,1,0,1,1,1,1
4,1,1,2,0,2353.904,0,1,0,0,2,1,4,0,1,0,2,0,1,1,1,1
5,1,1,7,0,1279.646,0,0,0,0,2,9,1,0,0,0,1,0,1,1,1,1
6,2,3,2,0,3826.192,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,1
6,2,1,4,0,2097.124,0,0,0,0,1,9,1,0,0,0,1,0,1,1,1,1
3,2,2,2,2,2360.764,0,0,0,0,1,0,4,0,0,0,2,1,1,1,1,1
6,3,1,2,0,4682.458,0,0,0,0,2,9,1,1,0,0,1,0,1,1,1,1
6,1,1,4,0,1876.411,0,0,1,0,2,9,1,0,0,0,1,0,1,1,1,1
5,1,1,5,0,1804.554,0,1,1,0,2,0,2,0,0,0,2,0,1,1,1,1
2,3,3,6,0,17068.3,0,0,0,0,1,0,5,1,0,0,3,0,1,1,1,1
5,1,1,7,0,719.8428,0,0,0,0,2,9,1,0,0,0,1,0,1,1,1,1
2,1,1,6,0,2930.063,0,0,0,0,2,0,1,1,0,0,1,0,1,1,1,1
6,2,1,1,0,1089.546,0,0,1,0,1,9,1,0,0,0,1,0,1,1,1,1
6,1,1,6,0,2489.951,0,0,0,0,2,9,1,0,0,0,1,0,1,1,1,1
7,1,1,6,0,1402.451,0,0,1,0,2,9,5,0,0,0,3,0,1,1,1,1
4,1,1,6,0,20496.54,0,0,0,0,3,1,3,1,0,0,2,0,1,1,1,1
4,1,1,1,0,32578.53,0,0,0,0,2,0,3,1,0,0,2,0,1,1,1,1
6,1,1,3,0,1006.174,0,0,0,0,2,9,5,1,0,0,3,0,1,1,1,1
2,1,2,3,0,15716.26,0,0,0,0,2,9,4,0,0,0,2,0,1,1,1,1
4,2,4,4,0,12123.42,0,1,0,0,1,1,3,1,1,0,2,0,1,1,1,1
6,1,2,3,0,4798.742,0,1,0,0,2,0,1,0,0,0,1,0,1,1,1,1
6,1,1,2,0,17343.29,0,0,0,0,2,9,5,1,0,0,3,0,1,1,1,1
6,3,1,3,0,2059.138,0,0,1,0,1,9,1,0,0,0,1,0,1,1,1,1
1,3,1,2,0,25472.82,0,0,0,0,3,9,2,0,0,0,2,0,1,1,1,1
7,1,1,6,0,1035.851,0,0,1,0,2,9,2,0,0,0,2,0,1,1,1,1
3,3,1,4,0,1491.218,0,1,0,0,1,0,3,0,0,0,2,0,1,1,1,1
3,3,1,6,0,1868.667,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,1
3,1,3,6,0,11019.47,0,1,0,0,2,9,1,1,0,0,1,0,1,1,1,1
3,3,1,4,0,1217.891,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,1
